,C1,C2,C3
Ref,783.5,1123.5,799.5
R20,771.5,1116.5,785.5
R30,771.5,910.5,
D90,858.5,904.5,926.5
D570,1050.5,1123.5,
S07,924.5,843.5,
S31,1008.5,834.5,776.5
