,C1,C2,C3
Ref,,1123.5,
R20,,1123.5,1038.5
R30,,939.5,
D90,981.5,797.5,1050.5
D570,1018.5,1123.5,
S07,746.5,655.5,552.5
S31,,649.5,730.5
