,C1,C2,C3
Ref,1049.5,910.5,884.5
R20,,1123.5,786.5
R30,,869.5,883.5
D90,950.5,666.5,633.5
D570,1004.5,1106.5,
S07,613.5,628.5,552.5
S31,542.5,846.5,746.5
