,C1,C2,C3
Ref,833.5,900.5,776.5
R20,762.5,894.5,776.5
R30,762.5,952.5,776.5
D90,762.5,799.5,776.5
D570,986.5,1055.5,1079.5
S07,762.5,787.5,776.5
S31,856.5,834.5,776.5
